         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
     2.000     2.000     3.000     1.000     1.000     2.000     1.000     2.000     3.000     2.000     2.000     2.000     1.245     0.322  193
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     2.000    -0.125     0.322  194
     1.000     0.000     2.000     0.000     1.000     1.000     0.000     1.000     1.000     2.000     1.000     2.000     0.427     0.322  195
     3.000    -3.000     1.000     2.000     2.000     2.000     3.000     3.000     2.000     3.000     3.000     3.000     1.495     0.322  196
    -2.000     0.000    -2.000     0.000     0.000    -1.000    -1.000    -1.000    -1.000    -1.000    -1.000     0.000    -1.193     0.322  197
     2.000     3.000     1.000     2.000     1.000     2.000     3.000     2.000     3.000     2.000     3.000     1.000     1.512     0.322  198
     3.000     0.000     3.000     0.000    -3.000     1.000     1.000     2.000     2.000    -2.000     3.000     1.000     0.720     0.322  199
     2.000     0.000     1.000     0.000     0.000    -2.000     2.000     2.000     1.000     1.000     2.000     2.000     0.685     0.322  200
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  201
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  202
     3.000     2.000     3.000     3.000     3.000     0.000     2.000     3.000     3.000     1.000     2.000     2.000     1.439     0.322  203
     3.000     2.000     3.000     3.000     2.000     2.000     2.000     3.000     2.000     2.000     3.000     3.000     1.734     0.322  204
     0.000     0.000     0.000     0.000     0.000     0.000    -1.000     1.000     2.000     2.000     0.000     2.000     0.061     0.322  205
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.265     0.322  206
    -3.000    -3.000    -3.000     0.000    -3.000    -3.000    -2.000     1.000    -3.000     1.000     1.000    -1.000    -1.343     0.322  207
    -2.000         *     1.000    -2.000    -3.000         *    -1.000     1.000     2.000    -1.000     0.000    -1.000    -0.778     0.336  208
     2.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.178     0.322  209
     2.000     3.000     1.000     2.000     1.000     2.000     3.000     2.000     3.000     1.000     3.000     2.000     1.532     0.322  210
     2.000     3.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     1.725     0.322  211
     3.000     3.000     3.000    -3.000    -3.000     3.000     3.000     3.000    -3.000     3.000     3.000     3.000     1.311     0.322  212
     1.000     3.000    -1.000     2.000     3.000     2.000     2.000     1.000     0.000     2.000     2.000     2.000     0.869     0.322  213
     1.000    -1.000     1.000     0.000     1.000     0.000     1.000     2.000     3.000     3.000     1.000     1.000     0.640     0.322  214
     1.000     0.000     0.000     2.000     2.000     1.000     3.000     2.000     3.000     2.000     3.000     2.000     1.301     0.322  215
     0.000    -3.000     2.000     0.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.000    -3.000    -2.349     0.322  216
    -2.000    -2.000     0.000    -1.000    -3.000    -3.000     1.000     0.000     1.000     0.000    -1.000    -2.000    -0.991     0.322  217
     2.000    -1.000     0.000    -1.000    -1.000    -2.000    -2.000     0.000     0.000    -1.000     0.000    -1.000    -0.908     0.322  218
     1.000    -3.000    -2.000    -3.000    -3.000    -2.000     1.000     0.000     1.000     1.000     0.000     1.000    -0.507     0.322  219
     3.000     2.000     2.000     3.000     2.000     3.000     3.000     3.000     2.000     3.000     3.000     3.000     1.912     0.322  220
     2.000     2.000     3.000     2.000     2.000     2.000     3.000     2.000     2.000     2.000     3.000     3.000     1.663     0.322  221
    -1.000    -3.000     0.000    -3.000    -3.000     0.000     0.000     0.000    -3.000     0.000     1.000     2.000    -0.738     0.322  222
     1.000     0.000     2.000     0.000     2.000    -1.000     1.000     2.000     0.000     0.000     1.000     1.000     0.228     0.322  223
     3.000     1.000     1.000     0.000     0.000     1.000     1.000     2.000     2.000     0.000     2.000     1.000     0.724     0.322  224
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.998     0.322  225
